k,mu,c,n,D1,D2,D3,D4,multiplicity_test
153,76,77,766,4742,22288276,34696663928,88198896682000,noninteger_multiplicity
153,76,99,698,4810,22937812,38318480200,32191011895504,nonconstant_conjugate_multiplicity
153,76,102,691,4817,23005201,38698857953,23298530105725,nonconstant_conjugate_multiplicity
154,42,44,2144,3400,11360416,10309888000,3325343137792,nonconstant_conjugate_multiplicity
154,42,48,2025,3519,12183777,13568141439,14634336698073,nonconstant_conjugate_multiplicity
154,42,51,1948,3596,12731632,15835115456,21410569039360,nonconstant_conjugate_multiplicity
154,42,56,1838,3706,13534852,19296237736,29570776882000,nonconstant_conjugate_multiplicity
154,42,66,1668,3876,14823792,25177317696,35336624129280,nonconstant_conjugate_multiplicity
154,42,68,1640,3904,15041632,26209644544,35001549979648,nonconstant_conjugate_multiplicity
154,42,77,1532,4012,15896560,30364677568,28322826883072,nonconstant_conjugate_multiplicity
154,42,84,1464,4080,16446816,33124377600,18088680333312,nonconstant_conjugate_multiplicity
154,42,88,1430,4114,16725412,34546558024,10567185344848,nonconstant_conjugate_multiplicity
154,51,66,1338,4206,17490852,31032557784,74736036882000,nonconstant_conjugate_multiplicity
154,51,77,1235,4309,18367897,35571695581,63087351134389,nonconstant_conjugate_multiplicity
154,63,77,971,4573,20712745,37592808373,88025248837045,nonconstant_conjugate_multiplicity
154,63,91,903,4641,21339297,41059637073,54663941417085,nonconstant_conjugate_multiplicity
154,66,66,988,4556,20557552,34035798464,108152359763200,nonconstant_conjugate_multiplicity
154,66,68,974,4570,20685316,34724267560,105776148611536,nonconstant_conjugate_multiplicity
154,66,77,920,4624,21181792,37430281216,90822301794304,noninteger_multiplicity
154,66,84,886,4658,21497380,39175512776,75256242389968,nonconstant_conjugate_multiplicity
154,66,88,869,4675,21656041,40060229275,65119798188841,nonconstant_conjugate_multiplicity
154,66,102,820,4724,22116592,42655754816,24077344155904,nonconstant_conjugate_multiplicity
154,77,77,767,4777,22620145,35120355913,91310734529557,nonconstant_conjugate_multiplicity
154,77,99,699,4845,23274441,38790353925,34806466927197,nonconstant_conjugate_multiplicity
154,77,102,692,4852,23342320,39175746688,25821287391232,nonconstant_conjugate_multiplicity
155,55,56,1365,4215,17565345,27769368375,88535668717125,noninteger_multiplicity
155,55,62,1290,4290,18203220,30999969000,90511249878000,nonconstant_conjugate_multiplicity
155,55,70,1210,4370,18896020,34605593000,85694862550000,nonconstant_conjugate_multiplicity
155,55,100,1024,4556,20556256,43642543616,18838587314176,nonconstant_conjugate_multiplicity
155,62,77,1006,4574,20720596,38176378712,89517304061008,nonconstant_conjugate_multiplicity
155,62,93,926,4654,21458836,42279858712,50604782647888,nonconstant_conjugate_multiplicity
155,62,105,882,4698,21870324,44612752968,13115095623504,nonconstant_conjugate_multiplicity
155,70,85,838,4742,22285684,39428800568,77657719022416,nonconstant_conjugate_multiplicity
155,77,78,776,4804,22877536,36075964672,92925248339968,noninteger_multiplicity
155,77,93,726,4854,23360436,38795439672,55288728359568,nonconstant_conjugate_multiplicity
156,39,52,2172,3444,11658960,13172060160,2751454448640,nonconstant_conjugate_multiplicity
156,39,60,1986,3630,12974724,18659666520,14179395986640,nonconstant_conjugate_multiplicity
156,39,62,1947,3669,13259385,19904563485,15732968147865,nonconstant_conjugate_multiplicity
156,39,65,1893,3723,13658553,21683619459,17143861541301,nonconstant_conjugate_multiplicity
156,39,78,1707,3909,15078105,28315955565,11865062576025,nonconstant_conjugate_multiplicity
156,52,52,1552,4064,16313920,23848202240,71866282639360,nonconstant_conjugate_multiplicity
156,52,60,1428,4188,17337168,28861216704,80408769382656,nonconstant_conjugate_multiplicity
156,52,62,1402,4214,17555620,29960950040,80937863866960,nonconstant_conjugate_multiplicity
156,52,65,1366,4250,17860324,31511897000,80684952670960,nonconstant_conjugate_multiplicity
156,52,78,1242,4374,18929700,37108753560,67504254653520,nonconstant_conjugate_multiplicity
156,52,93,1142,4474,19814500,41915742760,34222923863920,nonconstant_conjugate_multiplicity
156,52,104,1087,4529,20309665,44673625745,1264418108305,nonconstant_conjugate_multiplicity
156,60,62,1184,4432,19440448,32742055936,105952336936960,nonconstant_conjugate_multiplicity
156,60,78,1056,4560,20591424,38936125440,87052968787968,nonconstant_conjugate_multiplicity
156,60,93,976,4640,21327424,43034255360,50507667079168,nonconstant_conjugate_multiplicity
156,60,96,963,4653,21448233,43716949749,41667256374849,nonconstant_conjugate_multiplicity
156,60,104,932,4684,21737680,45363977920,16136658976000,nonconstant_conjugate_multiplicity
156,62,65,1111,4505,20092849,34410491945,108641607446605,nonconstant_conjugate_multiplicity
156,62,78,1017,4599,20948625,39064204935,90289033177545,nonconstant_conjugate_multiplicity
156,62,94,937,4679,21690865,43216671095,50278427788105,nonconstant_conjugate_multiplicity
156,65,78,963,4653,21448233,39043476549,94000911579225,nonconstant_conjugate_multiplicity
156,65,84,932,4684,21737680,40659368320,80490541504000,nonconstant_conjugate_multiplicity
156,65,91,901,4715,22029049,42302268035,62022870006301,nonconstant_conjugate_multiplicity
156,65,93,893,4723,22104553,42730648219,56286163376485,nonconstant_conjugate_multiplicity
